DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber
12-Oct-2021,6,13,22,45,49,10,11,"ZKZF66866",1467
08-Oct-2021,1,10,23,42,46,3,5,"VHWP82211",1466
05-Oct-2021,11,13,14,36,45,7,9,"THWX91872",1465
01-Oct-2021,1,15,19,26,48,6,12,"ZGWJ07281",1464
28-Sep-2021,6,7,12,33,39,1,7,"JFVN05770",1463
24-Sep-2021,2,12,20,27,41,10,12,"JDVC25775",1462
21-Sep-2021,20,25,26,30,38,2,8,"MCTL75990",1461
17-Sep-2021,5,7,8,10,34,1,9,"HBTJ43166",1460
14-Sep-2021,12,18,35,38,45,2,8,"ZZST95795",1459
10-Sep-2021,1,6,7,18,28,2,8,"HXSN52582",1458
07-Sep-2021,7,19,35,42,43,7,9,"MWSJ01166",1457
03-Sep-2021,5,7,13,29,35,3,7,"ZVRS85665",1456
31-Aug-2021,5,13,17,32,43,2,10,"JTRN69707",1455
27-Aug-2021,2,3,31,46,50,8,12,"VSQZ25296",1454
24-Aug-2021,19,21,36,44,50,3,10,"HKMX89792",1453
20-Aug-2021,3,9,19,20,23,9,11,"MQQG67267",1452
17-Aug-2021,12,31,41,42,47,4,6,"VPQD26532",1451
13-Aug-2021,6,12,44,47,49,8,12,"JKMV86962,JMNX44731,JNPH16293,JNPP77882,JNPQ58938,TNPN32473,VMNS97504,VMNW99179,VNPH27876,XNPK03588,XNPM56730,ZMNT33981,ZNPQ77578",1450
10-Aug-2021,9,37,47,48,49,2,7,"MMPB96995",1449
06-Aug-2021,7,14,21,26,32,4,12,"JKMX72651",1448
03-Aug-2021,17,21,23,45,46,7,11,"MKNB99588",1447
30-Jul-2021,10,23,33,35,37,5,10,"XJMN89120",1446
27-Jul-2021,5,9,19,21,25,10,12,"MHMJ77060",1445
23-Jul-2021,23,24,26,34,50,2,4,"XGLZ08350",1444
20-Jul-2021,3,12,19,41,48,6,9,"ZFLR28693",1443
16-Jul-2021,5,16,42,47,49,3,11,"TDLD77788",1442
13-Jul-2021,5,6,8,11,22,3,4,"ZCKZ24880",1441
09-Jul-2021,6,19,36,37,49,4,11,"ZBKS41795",1440
06-Jul-2021,2,5,21,27,42,9,11,"JZKJ71038",1439
02-Jul-2021,9,14,29,38,49,7,10,"HWJJ90580,HXJW20318,HXKD91341,JWJG52544,JXJR64142,JXKC44946,MWJG13652,MWJN06638,MXJR10738,MXKB00924,MXKB55829,TWJD53925,TWJF85078,TXJV25096,VXJP82520,VXJP96861,XXJX05479,ZXJR71182,ZXJS06386,ZXJZ69776",1438
29-Jun-2021,6,12,20,24,48,5,6,"ZWJM64577",1437
25-Jun-2021,1,29,30,33,36,3,12,"JTHK40424",1436
22-Jun-2021,6,24,26,27,41,3,8,"TTHQ06159",1435
18-Jun-2021,11,20,27,30,41,3,5,"HSHJ77861",1434
15-Jun-2021,11,21,26,30,31,2,3,"JRGV92718",1433
11-Jun-2021,9,17,21,33,39,7,11,"JQGL51433",1432
08-Jun-2021,2,11,26,36,47,7,9,"XPGK02042",1431
04-Jun-2021,7,20,36,40,46,2,4,"TNFQ49792",1430
01-Jun-2021,3,10,26,35,44,6,7,"ZMFD00211",1429
28-May-2021,11,13,16,34,40,1,12,"HLDQ69386",1428
25-May-2021,1,21,26,30,38,2,8,"VHCL87273",1427
21-May-2021,2,9,13,15,35,3,10,"VJCR55451",1426
18-May-2021,5,13,38,39,40,4,12,"THCS17921",1425
14-May-2021,6,16,18,29,38,6,11,"MFBT79907",1424
11-May-2021,14,25,34,43,46,5,6,"TFBR93892",1423
07-May-2021,14,22,33,38,47,8,9,"XDBJ64037",1422
04-May-2021,3,10,13,28,46,4,11,"JCZZ63740",1421
30-Apr-2021,1,16,24,28,46,2,11,"JBZM54765,JBZT63124,JBZT72197,MBZM71633,TBZV80325,TZZD14106,XZZB58932,XZZF64550,ZBZT98103,ZVWT35504",1420
27-Apr-2021,13,14,24,35,49,1,10,"XZZF28583",1419
23-Apr-2021,3,14,15,19,29,2,8,"HXXW20886",1418
20-Apr-2021,5,17,28,41,46,10,11,"XWXL23220",1417
16-Apr-2021,6,11,29,40,48,5,9,"HVWX68256",1416
