draw_date,ball_1,ball_2,ball_3,ball_4,ball_5,lucky_star_1,lucky_star_2,jackpot,winners
2004-12-31,07,08,24,25,47,08,09,,0
2004-12-24,03,04,27,29,37,05,06,,0
2004-12-17,15,19,22,46,49,02,09,,0
2004-12-10,01,03,13,16,43,02,07,,0
2004-12-03,01,11,15,42,49,03,04,,0
2004-11-26,01,04,24,34,36,06,08,,0
2004-11-19,01,18,29,34,37,02,06,,0
2004-11-12,04,11,12,13,32,03,09,,0
2004-11-05,06,19,25,42,49,01,07,,0
2004-10-29,01,08,32,35,38,04,09,,0
2004-10-22,01,09,23,25,40,03,09,,0
2004-10-15,14,21,22,37,43,05,08,,0
2004-10-08,01,10,12,16,48,02,06,,0
2004-10-01,12,20,21,45,48,05,06,,0
2004-09-24,21,26,27,44,48,01,07,,0
2004-09-17,15,18,29,39,41,05,08,,0
2004-09-10,05,25,33,36,38,02,05,,0
2004-09-03,08,12,14,15,34,06,07,,0
2004-08-27,01,11,22,28,44,01,09,,0
2004-08-20,06,09,10,27,35,06,08,,0
2004-08-13,20,27,41,43,50,05,08,,0
2004-08-06,05,15,24,35,44,05,06,,0
2004-07-30,09,10,19,37,50,01,06,,0
2004-07-23,07,10,27,31,34,03,08,,0
2004-07-16,24,26,31,38,50,05,08,,0
2004-07-09,02,05,12,19,44,08,09,,0
2004-07-02,04,23,24,28,34,01,03,,0
2004-06-25,03,21,30,34,35,01,02,,0
2004-06-18,02,23,28,40,43,02,06,,0
2004-06-11,02,07,08,10,47,01,07,,0
2004-06-04,09,13,34,41,42,03,07,,0
2004-05-28,06,11,35,41,44,05,06,,0
2004-05-21,15,29,37,39,49,04,09,,0
2004-05-14,01,03,21,32,39,02,06,,0
2004-05-07,15,16,21,36,38,01,05,,0
2004-04-30,05,06,16,23,27,06,07,,0
2004-04-23,06,10,21,45,49,03,05,,0
2004-04-16,14,15,28,35,40,01,03,,0
2004-04-09,01,04,10,19,23,02,08,,0
2004-04-02,04,12,24,27,36,02,09,,0
2004-03-26,03,04,10,23,43,02,04,,0
2004-03-19,33,36,37,42,45,04,09,,0
2004-03-12,15,24,28,44,47,04,05,,0
2004-03-05,04,07,33,37,39,01,05,,0
2004-02-27,14,18,19,31,37,04,05,,0
2004-02-20,07,13,39,47,50,02,05,,0
2004-02-13,16,29,32,36,41,07,09,,0
2005-12-30,08,16,19,43,45,01,04,,0
2005-12-23,15,31,36,37,42,01,07,,0
2005-12-16,02,03,15,18,32,06,07,,0
2005-12-09,11,18,35,38,42,01,05,,0
2005-12-02,01,09,20,23,30,04,07,,0
2005-11-25,01,06,27,39,47,01,06,,0
2005-11-18,17,18,25,34,48,02,03,,0
2005-11-11,15,16,36,41,42,03,05,,0
2005-11-04,26,36,37,38,42,02,06,,0
2005-10-28,14,36,44,47,50,03,05,,0
2005-10-21,01,14,19,29,33,01,08,,0
2005-10-14,10,11,19,20,23,01,06,,0
2005-10-07,02,13,21,26,44,03,09,,0
2005-09-30,06,11,47,48,50,01,06,,0
2005-09-23,01,26,31,34,47,04,09,,0
2005-09-16,12,13,19,21,38,03,09,,0
2005-09-09,08,12,19,31,50,06,07,,0
2005-09-02,03,04,14,43,50,03,06,,0
2005-08-26,09,29,35,40,41,01,06,,0
2005-08-19,11,24,29,31,41,01,03,,0
2005-08-12,15,23,30,37,40,07,09,,0
2005-08-05,02,11,21,22,30,04,06,,0
2005-07-29,03,19,26,49,50,04,05,,0
2005-07-22,03,14,41,48,49,01,04,,0
2005-07-15,01,11,12,23,42,03,06,,0
2005-07-08,35,36,42,46,49,02,08,,0
2005-07-01,04,05,23,25,28,03,04,,0
2005-06-24,06,08,14,15,45,07,08,,0
2005-06-17,04,08,10,18,21,01,07,,0
2005-06-10,06,07,32,37,47,01,07,,0
2005-06-03,03,08,11,17,50,01,05,,0
2005-05-27,02,24,31,48,50,04,09,,0
2005-05-20,06,07,13,28,47,05,08,,0
2005-05-13,12,17,31,32,40,02,09,,0
2005-05-06,07,12,21,26,44,06,08,,0
2005-04-29,03,09,35,39,42,01,08,,0
2005-04-22,03,10,13,24,47,05,09,,0
2005-04-15,06,28,31,38,42,03,09,,0
2005-04-08,07,11,25,31,50,01,03,,0
2005-04-01,25,26,41,44,47,03,07,,0
2005-03-25,04,29,33,37,38,06,09,,0
2005-03-18,06,23,39,43,48,05,07,,0
2005-03-11,08,12,23,40,43,01,04,,0
2005-03-04,12,24,32,37,39,07,09,,0
2005-02-25,03,27,30,43,44,04,08,,0
2005-02-18,20,21,26,32,46,08,09,,0
2005-02-11,11,13,25,32,50,04,07,,0
2005-02-04,01,08,11,30,40,07,08,,0
2005-01-28,07,21,26,43,45,05,07,,0
2005-01-21,10,12,14,24,26,05,08,,0
2005-01-14,06,11,14,19,29,01,03,,0
2005-01-07,03,23,27,47,50,02,03,,0
2006-12-29,06,09,13,14,35,03,04,,0
2006-12-22,09,11,20,38,43,02,03,,0
2006-12-15,09,23,35,37,42,03,07,,0
2006-12-08,16,17,18,36,47,01,02,,0
2006-12-01,04,08,16,37,41,02,05,,0
2006-11-24,05,08,17,25,40,01,05,,0
2006-11-17,12,22,32,33,36,02,06,,0
2006-11-10,14,21,27,30,36,02,03,,0
2006-11-03,11,13,24,44,49,03,09,,0
2006-10-27,03,04,08,44,50,07,08,,0
2006-10-20,10,19,34,45,47,03,06,,0
2006-10-13,02,25,32,38,41,03,05,,0
2006-10-06,05,11,22,35,38,07,08,,0
2006-09-29,01,03,06,18,24,05,08,,0
2006-09-22,10,29,30,45,49,03,08,,0
2006-09-15,06,10,16,26,49,07,09,,0
2006-09-08,01,10,12,32,33,01,08,,0
2006-09-01,03,07,25,45,50,06,09,,0
2006-08-25,10,28,40,47,48,06,08,,0
2006-08-18,12,37,39,40,50,01,02,,0
2006-08-11,27,28,31,46,47,02,05,,0
2006-08-04,01,14,15,26,32,03,07,,0
2006-07-28,03,08,12,29,43,06,07,,0
2006-07-21,02,04,09,38,50,06,08,,0
2006-07-14,01,07,17,31,36,02,08,,0
2006-07-07,07,09,18,35,43,05,07,,0
2006-06-30,06,15,16,40,43,01,02,,0
2006-06-23,09,21,30,43,44,01,09,,0
2006-06-16,01,16,26,30,36,03,09,,0
2006-06-09,03,12,15,34,39,04,06,,0
2006-06-02,07,08,27,41,48,01,06,,0
2006-05-26,02,12,21,41,49,03,07,,0
2006-05-19,03,05,25,34,49,05,08,,0
2006-05-12,05,20,23,34,50,01,05,,0
2006-05-05,04,08,14,16,50,03,09,,0
2006-04-28,05,10,17,22,33,05,07,,0
2006-04-21,01,20,22,37,46,01,09,,0
2006-04-14,16,26,34,35,49,02,06,,0
2006-04-07,12,13,29,44,50,04,05,,0
2006-03-31,03,20,31,45,50,06,07,,0
2006-03-24,17,28,33,35,47,04,09,,0
2006-03-17,05,32,44,45,50,01,07,,0
2006-03-10,01,21,33,45,49,04,08,,0
2006-03-03,03,05,08,10,44,03,05,,0
2006-02-24,01,11,18,19,47,03,07,,0
2006-02-17,04,23,24,26,38,02,04,,0
2006-02-10,05,06,38,48,50,06,07,,0
2006-02-03,09,21,30,39,50,01,03,,0
2006-01-27,09,15,21,40,49,01,04,,0
2006-01-20,12,15,33,44,50,02,06,,0
2006-01-13,08,12,19,33,34,01,06,,0
2006-01-06,02,06,09,14,26,04,05,,0
2007-12-28,20,21,22,31,45,07,09,,0
2007-12-21,07,09,28,37,44,06,07,,0
2007-12-14,08,25,30,36,44,03,04,,0
2007-12-07,02,04,32,43,48,01,07,,0
2007-11-30,12,19,20,30,38,07,09,,0
2007-11-23,02,10,22,29,48,03,09,,0
2007-11-16,09,18,23,33,37,01,08,,0
2007-11-09,05,14,22,25,36,05,06,,0
2007-11-02,03,16,18,19,40,01,02,,0
2007-10-26,07,20,38,40,43,01,08,,0
2007-10-19,07,18,34,35,40,07,08,,0
2007-10-12,21,32,36,46,47,03,04,,0
2007-10-05,11,20,27,35,44,02,05,,0
2007-09-28,22,30,34,35,44,04,05,,0
2007-09-21,01,17,32,35,37,01,08,,0
2007-09-14,05,09,11,29,33,07,09,,0
2007-09-07,02,03,33,34,42,03,05,,0
2007-08-31,06,18,22,23,37,05,06,,0
2007-08-24,01,03,16,42,48,02,03,,0
2007-08-17,02,03,13,38,42,07,08,,0
2007-08-10,23,40,42,43,49,02,06,,0
2007-08-03,10,30,33,37,41,01,08,,0
2007-07-27,01,04,21,29,41,07,08,,0
2007-07-20,10,21,25,26,50,04,09,,0
2007-07-13,09,13,15,31,48,03,06,,0
2007-07-06,04,05,19,39,41,08,09,,0
2007-06-29,08,12,28,33,45,01,03,,0
2007-06-22,11,16,17,22,34,05,06,,0
2007-06-15,05,07,14,21,40,03,08,,0
2007-06-08,01,15,17,25,45,02,08,,0
2007-06-01,06,22,37,41,42,06,09,,0
2007-05-25,25,26,29,49,50,07,08,,0
2007-05-18,26,34,37,39,49,02,06,,0
2007-05-11,07,12,26,29,49,02,06,,0
